Component,Product ID,Cost per unit,Quantity,Total,Source,Material type,Notes,Development time
High Gain RFID Antenna,ALIEN ALR-8698,$179.00,1,$179.00,Atlas RFID,Non-specific,,
RP-SMA to U.FL Adapter cable,WRL-00662,$4.95,1,$4.95,Sparkfun,Non-specific,,
RFID Reader,SEN-14066,$224.95,1,$224.95,Sparkfun,Non-specific,,
Feather M0 w/ built-in WiFi,3010,$34.95,1,$34.95,Adafruit,Non-specific,,
Arduino Uno,A000066,$22.00,1,$22.00,Arduino,Non-specifc,,
Neopixel RGB LED,1312,$7.95,1,$7.95,Adafruit,Non-specific,Sold as pack of 4,
SmartTrac Dogbone RFID Tag,3004837,$0.12,3,$0.36,Atlas RFID,Non-specific,,
Attachment hardware,M4 x 0.7 screws,,4,,,,,
3D printed enclosure,N/A,,1,,,,,
"10,000 mAh Power Bank",AK-A1263011,$31.99,1,$31.99,Amazon,Non-specific,,
Adafruit Power Relay Featherwing,3191,$9.95,1,$9.95,Adafruit,Non-specific,,
,,,,,,,,
,,,Total:,$516.10,,,,
Soil Moisture Loggers x 3,,,,,,,,
Feather M0 Proto,,,1,,,,,
Hypnos Board,,,1,,,,Talk to Bao,
"Decagon PCB, 3.5mm jack soil moisture sensor input",,,1,,,,Talk to Bao,
3.5mm waterproof jacks,,,6,,,,,
DF Robot Soil moisture Sensors,,,6,,,,,
"SD Card 4Gig or less, micro",,,,,,,,
Headers,,,,,,,,
Weatherproof box,,,,,Adafruit,,,